loudlyTheoff@gmail.com,HarryDumbledore,gottacar,Null,2010-10-27,4260133,"Percy was in his element. 
",false,false,creative,false
wandhimAbout@gmail.com,whenthe,ascan,Null,2012-01-06,125078,"he was gettin' more an' more powerful -- why'd he go? ""Some say he died. Codswallop, in my opinion. Dunno if he had enough human left in him to die. Some say he's still out there, bidin' his time, like, but I don' believe it. People who was on his side came back ter ours. Some of 'em came outta kinda trances. Don~ reckon they could've done if he was comin' back. 
",false,true,gaming,true
fromatget@gmail.com,hadthe,overDudley,Null,2016-09-24,4250961,"""How's yer brother Charlie?"" Hagrid asked Ron. ""I liked him a lot -- great with animals."" 
",false,true,irl,false
backHarrywhat@gmail.com,warmthand,he'dgone,Null,2013-05-25,1808804,"""No, no -here, ebony and unicorn hair, eight and a half inches, springy. 
",false,true,gaming,false
goingknowtalking@gmail.com,oneand,ignoredparchment,Null,2016-04-15,6804468,"""Not the Stone, boy, you -- the effort involved nearly killed you. For one terrible moment there, I was afraid it had. As for the Stone, it has been destroyed."" 
",false,false,creative,false
toWhatgoing@gmail.com,Dudleymake,Thepipe,Null,2013-08-11,2766873,"""Better get the cloak,"" Ron muttered, as Lee Jordan finally left, stretching and yawning. Harry ran upstairs to their dark dormitory. He putted out the cloak and then his eyes fell on the flute Hagrid had given him for Christmas. He pocketed it to use on Fluffy -- he didn't feel much like singing. 
",false,false,irl,false
frominterestthis@gmail.com,makinghe,HarryI,Null,2013-11-07,5590792,"""How did he get covered in blood?"" asked Seamus with great interest. 
",false,false,creative,false
relaxedtheand@gmail.com,lotsbut,onethat's,Null,2018-04-03,4205016,"""You all right, Hermione?"" Hagrid whispered. ""Don' worry, it can't've gone far if it's this badly hurt, an' then we'll be able ter -- GET BEHIND THAT TREE!"" 
",false,true,irl,false
noddedFilchhis@gmail.com,sincefunny,inarm,Null,2014-03-05,2753883,"Harry quickly looked down again as Professor McGonagall silently placed a four-legged stool in front of the first years. On top of the stool she put a pointed wizard's hat. This hat was patched and frayed and extremely dirty. Aunt Petunia wouldn't have let it in the house. 
",false,true,science,true
HehamburgerMalfoy@gmail.com,wasbefore,andmail,Null,2014-11-21,5858130,"""Go on, have a pasty,"" said Harry, who had never had anything to share before or, indeed, anyone to share it with. It was a nice feeling, sitting there with Ron, eating their way through all Harry's pasties, cakes, and candies (the sandwiches lay forgotten). 
",false,true,irl,false
